,Zipcode,Mean Income
0,11372,32212.0
1,11004,42228.0
2,11040,52111.0
3,11426,42143.0
4,11365,32424.0
5,11373,24628.0
6,11001,48875.0
7,11375,53323.0
8,11427,33963.0
9,11374,41519.0
10,11366,36531.0
11,11423,30866.0
12,11428,30134.0
13,11432,28208.0
14,11379,39221.0
15,11429,30634.0
16,11435,29557.0
17,11415,45504.0
18,11418,28897.0
19,11433,24772.0
21,11221,33609.0
22,11421,28860.0
23,11419,25432.0
24,11434,30303.0
25,11216,46856.0
26,11416,26090.0
27,11233,28268.0
28,11436,29271.0
29,11213,29216.0
30,11212,20958.0
31,11225,38992.0
32,11218,36189.0
33,11226,31064.0
34,11219,17198.0
35,11210,34111.0
36,11230,30168.0
37,11204,23088.0
38,10471,54113.0
39,10470,34134.0
40,10466,26580.0
41,10467,21682.0
42,10463,37379.0
43,10463,37379.0
44,10475,28614.0
45,10464,53102.0
46,10464,53102.0
47,10464,53102.0
48,10469,28158.0
49,10468,18263.0
50,10458,17388.0
51,10034,32587.0
52,10033,31673.0
53,10462,27139.0
54,10040,28633.0
55,10453,16494.0
56,10465,34896.0
57,10461,30010.0
58,10457,17057.0
59,10460,18911.0
60,10032,30838.0
61,10452,15445.0
62,10456,17050.0
63,10472,18518.0
64,10031,32542.0
65,10039,27180.0
66,10459,17620.0
67,10451,21647.0
68,10473,25247.0
69,10030,34778.0
70,10027,37106.0
71,10474,13996.0
72,10455,17201.0
73,10037,36875.0
74,10024,128591.0
75,10454,15518.0
76,10026,45903.0
77,10035,26109.0
78,10035,26109.0
79,10025,79978.0
80,11357,39414.0
81,10029,32733.0
82,11356,26804.0
84,11360,49653.0
85,11105,44799.0
86,10128,107897.0
88,10023,124872.0
89,11363,57662.0
90,10028,119570.0
91,11354,26708.0
92,11102,48350.0
93,11370,24912.0
94,11370,24912.0
95,10021,122940.0
96,11361,41863.0
97,11358,33915.0
98,11362,42696.0
99,10044,61598.0
100,11369,25573.0
101,11103,44505.0
102,11106,46095.0
103,11368,19749.0
104,11377,31145.0
105,10036,87345.0
106,11355,23840.0
107,11101,57723.0
108,11364,38632.0
109,10018,102739.0
111,11005,320536.0
112,10017,114820.0
113,10001,91461.0
114,10011,123969.0
115,10016,103622.0
116,11104,43338.0
117,11109,88485.0
118,10010,103737.0
119,11367,30334.0
120,10014,131591.0
121,10003,100740.0
122,11222,58965.0
123,10002,34078.0
124,11378,33641.0
125,10009,57170.0
126,10012,101031.0
127,10013,128763.0
128,11211,49864.0
129,10007,154882.0
130,11237,28165.0
131,11385,31940.0
132,10038,71549.0
133,11206,25085.0
134,10006,128585.0
135,11412,32139.0
136,10005,120941.0
137,10004,182463.0
138,10004,182463.0
139,10004,182463.0
140,10004,182463.0
141,11411,38080.0
142,11201,90678.0
143,11205,37113.0
144,11208,21484.0
145,11207,22129.0
146,11413,34683.0
147,11217,80321.0
148,11238,62458.0
149,11231,71503.0
150,11231,71503.0
151,11422,33878.0
152,11420,29024.0
153,11417,27832.0
154,11215,80814.0
155,11414,43104.0
156,11232,32571.0
157,11430,9341.0
158,11203,29103.0
159,11239,22578.0
160,11236,30664.0
161,11220,22745.0
162,10301,38662.0
163,10310,37030.0
164,10303,27542.0
165,11234,39391.0
166,10302,29470.0
167,11693,31625.0
168,11693,31625.0
169,11693,31625.0
170,11693,31625.0
171,11209,45955.0
172,10304,34991.0
173,10314,38315.0
174,11228,35961.0
175,11096,25499.0
176,11096,25499.0
177,10305,35412.0
178,11229,33764.0
179,11214,28319.0
180,11691,25924.0
181,11223,28693.0
182,11692,25820.0
183,11235,35098.0
184,10306,38181.0
185,11694,44937.0
186,11224,24971.0
187,10308,43496.0
188,11697,57053.0
189,10312,41155.0
190,10309,44207.0
191,10307,45889.0
192,10280,121727.0
196,10162,74650.0
197,10019,109919.0
217,10022,148503.0
218,10065,138389.0
219,10075,130081.0
220,10069,110364.0
221,10282,162238.0
