Zipcode,White_Pop %,Population
6390,22.88135593,236
10001,81.36195621,21102
10002,34.02284732,81410
10003,74.97144081,56024
10004,79.31369375,3089
10005,93.7210932,7135
10006,82.29823979,3011
10007,83.88666285,6988
10009,62.10898658,61347
10010,77.76905196,31834
10011,81.45496626,50984
10012,74.44167704,24090
10013,67.98555957,27700
10014,84.69914578,31959
10016,73.33111862,54183
10017,73.77375566,16575
10018,94.66437177,5229
10019,73.26335433,42870
10020,,0
10021,82.29240677,43631
10022,84.67610575,31924
10023,82.04531296,60998
10024,87.3015873,59283
10025,68.83086681,94600
10026,35.08513955,34003
10027,36.39439262,59707
10028,92.12467602,45141
10029,32.82502006,76003
10030,25.41945998,26999
10031,47.18097736,56438
10032,33.95370742,57331
10033,52.74635612,53926
10034,45.8260512,38908
10035,26.80973829,33969
10036,77.39872931,24711
10037,17.64469453,17416
10038,66.39408867,20300
10039,23.48840054,24527
10040,42.78487054,41905
10044,54.66941086,11661
10065,77.89277967,32270
10069,65.858819,5199
10075,74.68703342,26121
10103,0,3
10110,,0
10111,,0
10112,,0
10115,,0
10119,0,92
10128,77.60243495,60453
10152,,0
10153,,0
10154,,0
10162,70.91988131,1685
10165,0,2
10167,,0
10168,,0
10169,,0
10170,0,2
10171,,0
10172,,0
10173,0,2
10174,,0
10177,,0
10199,0,9
10271,,0
10278,,0
10279,inf,0
10280,95.08468101,7853
10282,101.8398495,4783
10301,61.10411525,39706
10302,52.16890193,19088
10303,50.63978433,26337
10304,54.03502951,42193
10305,73.32630722,41749
10306,82.47151621,55909
10307,100.6881385,14096
10308,97.56917791,27357
10309,98.82222701,32519
10310,59.56253505,24962
10311,,0
10312,93.70531499,59304
10314,77.95930301,85510
10451,24.21411852,45713
10452,19.37217232,75371
10453,17.05934184,78309
10454,21.84963977,37337
10455,20.98323459,39665
10456,16.49623904,86547
10457,26.50079437,70496
10458,19.22960801,79492
10459,17.35224486,47308
10460,21.7270681,57311
10461,52.82167043,50502
10462,25.17154017,75784
10463,54.04296013,67970
10464,71.0189678,4534
10465,67.08501066,42230
10466,13.9619247,67813
10467,29.18504018,97060
10468,19.77057409,76103
10469,20.55949933,66631
10470,46.26299614,15293
10471,71.04528401,22922
10472,13.89282377,66358
10473,34.12225089,58519
10474,18.26398502,12281
10475,16.72815226,40931
10501,100.4101723,1219
10502,79.66101695,5487
10503,85.18518519,108
10504,89.05721798,7987
10505,121.9741481,851
10506,87.27115717,5790
10507,76.60736579,6408
10509,84.45173527,19507
10510,93.25190228,9988
10511,80.00890472,2246
10512,83.95076202,25590
10514,87.39326971,11946
10516,96.69124598,5289
10517,84.60111317,539
10518,73.65930599,1268
10519,56.64556962,316
10520,84.980484,12810
10522,84.94712644,10875
10523,51.24932832,7444
10524,91.33680163,4421
10526,88.99944721,1809
10527,88.43612335,908
10528,92.28013029,12280
10530,76.28530625,12604
10532,86.20969377,4931
10533,88.03605572,7322
10535,45.76576577,555
10536,95.53962194,10739
10537,84.89238411,2416
10538,84.53937459,16597
10541,94.07342724,26339
10543,81.53464117,20135
10545,59.57446809,141
10546,66.17071261,1277
10547,73.2574866,7647
10548,99.5698308,3487
10549,79.58288256,16638
10550,13.61458109,37144
10552,48.6758314,19786
10553,10.55063913,10170
10560,90.07810851,4737
10562,65.8164549,31796
10566,48.26050064,23570
10567,79.74308796,19929
10570,83.99053628,12680
10573,68.52315394,38352
10576,91.61454261,5116
10577,72.93956044,6552
10578,86.34361233,681
10579,88.19596542,8675
10580,88.73779637,17208
10583,81.15797035,38982
10588,114.8992112,2282
10589,91.39823009,8475
10590,99.08378898,6767
10591,72.26708075,22540
10594,98.72972445,5117
10595,75.68029286,8195
10596,59.34065934,1729
10597,70.66115702,968
10598,85.95315391,28647
10601,50.15822785,11376
10603,57.67673805,17045
10604,73.57333333,11250
10605,82.63268233,18126
10606,47.22710467,16499
10607,52.19812427,6824
10701,42.67190384,63393
10703,59.88867543,20301
10704,72.82943809,30165
10705,40.48533925,38777
10706,88.77750893,8679
10707,77.27047638,10097
10708,84.39575972,21225
10709,92.03616014,9292
10710,55.03582803,25120
10801,50.56457736,40827
10803,81.8898271,12435
10804,81.47886328,14146
10805,64.59758879,18414
10901,82.57830812,23465
10910,0,21
10911,0,2
10913,86.94866233,5532
10914,94.44444444,414
10915,66.38655462,119
10916,95.66079295,4540
10917,56.96138211,1968
10918,82.10698034,11647
10919,113.8461538,1040
10920,82.46434417,8554
10921,82.2974607,4135
10922,83.32264272,1559
10923,48.91204764,8732
10924,86.97408537,13120
